child,school,room,days_present
1434,Washington McKinley,10,80
1247,Washington McKinley,10,76
1629,Washington McKinley,10,75
1693,Washington McKinley,10,27
1227,Washington McKinley,10,77
1569,Washington McKinley,10,62
1468,Washington McKinley,10,74
1185,Washington McKinley,10,76
1611,Washington McKinley,10,5
1100,Washington McKinley,10,74
1276,Washington McKinley,10,77
1375,Washington McKinley,10,79
1230,Washington McKinley,10,77
1471,Washington McKinley,10,73
1612,Washington McKinley,10,15
1183,Washington McKinley,11,72
1573,Washington McKinley,11,68
1261,Washington McKinley,11,76
1390,Washington McKinley,11,44
1345,Washington McKinley,11,71
1155,Washington McKinley,11,81
1278,Washington McKinley,11,71
1445,Washington McKinley,11,78
1384,Washington McKinley,11,77
1447,Washington McKinley,11,80
1210,Washington McKinley,11,75
1145,Washington McKinley,11,81
1201,Washington McKinley,11,74
1469,Washington McKinley,11,75
1493,Washington McKinley,11,80
1335,Washington McKinley,12,81
1285,Washington McKinley,12,80
1140,Washington McKinley,12,75
1257,Washington McKinley,12,77
1638,Washington McKinley,12,76
1679,Washington McKinley,12,72
1143,Washington McKinley,12,77
1681,Washington McKinley,12,73
1634,Washington McKinley,12,29
1221,Washington McKinley,12,66
1228,Washington McKinley,12,73
1427,Washington McKinley,12,73
1653,Washington McKinley,12,60
1123,Washington McKinley,12,81
1207,Washington McKinley,12,74
1609,Washington McKinley,14,82
1542,Washington McKinley,14,75
1549,Washington McKinley,14,0
1631,Washington McKinley,14,76
1733,Washington McKinley,14,58
1567,Washington McKinley,14,79
1154,Washington McKinley,14,80
1507,Washington McKinley,14,70
1614,Washington McKinley,14,0
1243,Washington McKinley,14,72
1403,Washington McKinley,14,7
1419,Washington McKinley,14,0
1673,Washington McKinley,14,81
1376,Washington McKinley,14,79
1367,Washington McKinley,14,76
1448,Washington McKinley,15,79
1242,Washington McKinley,15,0
1402,Washington McKinley,15,78
1694,Washington McKinley,15,70
1510,Washington McKinley,15,80
1487,Washington McKinley,15,74
1572,Washington McKinley,15,77
1440,Washington McKinley,15,0
1652,Washington McKinley,15,77
1711,Washington McKinley,15,81
1616,Washington McKinley,15,73
1525,Washington McKinley,15,77
1544,Washington McKinley,15,81
1349,Washington McKinley,15,78
1647,Washington McKinley,15,68
1118,Highland,1,76
1121,Highland,4,75
1126,Highland,1,81
1127,Highland,1,80
1149,Highland,3,76
1156,Highland,4,76
1162,Highland,2,74
1166,Highland,2,77
1168,Highland,2,78
1169,Highland,1,80
1190,Highland,5,79
1206,Highland,1,83
1209,Highland,2,78
1212,Highland,3,77
1213,Highland,2,79
1214,Highland,2,78
1215,Highland,4,80
1223,Highland,3,77
1238,Highland,1,48
1253,Highland,2,77
1264,Highland,2,0
1277,Highland,4,76
1286,Highland,2,76
1287,Highland,5,78
1288,Highland,2,75
1290,Highland,3,77
1292,Highland,4,59
1298,Highland,3,56
1307,Highland,3,81
1310,Highland,4,79
1318,Highland,5,0
1323,Highland,4,82
1330,Highland,1,76
1341,Highland,5,54
1351,Highland,1,71
1354,Highland,5,77
1358,Highland,5,77
1366,Highland,2,83
1373,Highland,4,80
1379,Highland,5,78
1382,Highland,3,83
1386,Highland,1,83
1391,Highland,3,68
1393,Highland,3,71
1422,Highland,1,80
1425,Highland,3,79
1431,Highland,4,79
1444,Highland,4,80
1459,Highland,5,76
1467,Highland,2,81
1476,Highland,4,81
1480,Highland,1,72
1495,Highland,5,74
1500,Highland,1,66
1512,Highland,4,79
1531,Highland,2,80
1548,Highland,4,76
1552,Highland,5,68
1555,Highland,5,43
1556,Highland,5,74
1586,Highland,1,68
1590,Highland,2,75
1595,Highland,3,58
1615,Highland,3,75
1617,Highland,3,77
1644,Highland,5,0
1651,Highland,5,81
1657,Highland,4,79
1662,Highland,2,78
1665,Highland,4,78
1667,Highland,2,78
1675,Highland,1,66
1689,Highland,5,76
1692,Highland,3,0
1698,Highland,1,80
1703,Highland,3,82
