checc_id,10-Jun,11-Jun,12-Jun,13-Jun,17-Jun,18-Jun,19-Jun,20-Jun,24-Jun,25-Jun,26-Jun,27-Jun,1-Jul,2-Jul,3-Jul,8-Jul,9-Jul,10-Jul,11-Jul,15-Jul,16-Jul,17-Jul,18-Jul,22-Jul,23-Jul,24-Jul,25-Jul,29-Jul,30-Jul,31-Jul,1-Aug
3907,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1
3942,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3570,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3968,1,1,1,0,,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3053,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
3926,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3973,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3129,1,0,1,1,1,,,1,1,,1,,1,1,,,1,1,1,,1,1,1,,,,,,,,
3915,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,,
3332,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2655,1,1,1,1,1,1,1,,1,1,,1,,,,1,1,,1,1,1,,,1,1,,1,,,,
3764,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3574,1,1,1,1,1,1,1,,1,,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3147,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1
3346,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3606,1,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3969,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1
3946,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3081,1,1,,1,1,1,1,1,,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3910,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3620,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2430,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
3026,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1
3975,1,1,1,1,,1,1,,1,1,,1,1,,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1
2443,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3900,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2432,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,,1,,1,,1,1,1,1,1
2161,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3948,1,1,1,1,1,1,1,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3518,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,,,1,1,1,1,1,
3005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1
3924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3213,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3188,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3945,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1
3938,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
3903,,,,1,1,1,1,1,,1,1,1,,,,1,,,1,,1,1,,1,1,1,1,,1,1,1
3939,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3977,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1
3191,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3018,1,,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,
