checc_id,4-Jun,5-Jun,6-Jun,18-Jun,19-Jun,20-Jun,1-Jul,2-Jul,10-Jul,16-Jul,17-Jul,18-Jul,30-Jul,31-Jul,1-Aug
3907,,1,,,1,,,1,,,1,,,1,
3942,,,,,,,,,,,,,,,
3570,,,,,,,,,,,,,,,
3968,,1,,,1,,,,1,,1,,,1,
3053,,1,,,1,,,1,,,1,,1,,
3926,,1,,,1,,,1,,,1,,,1,
3973,,1,,,1,,1,,,,1,,,1,
3129,,1,,,1,,1,,,,1,,,,
3915,,1,,,1,,1,,,,1,,1,,
3332,,,,,1,,,,1,,1,,,1,
2655,,1,,,1,,1,,,,1,,,1,
3764,,,,,,,,,,,,,,,
3574,,1,,,1,,,1,,,1,,,1,
3147,,,1,,1,,1,,,,,,,1,
3346,,,,,1,,,1,,,1,,,1,
3606,,,,,,,,,,,,,,,
3969,1,,,,,1,,1,,,,1,,,
3946,1,,,,1,,,,,,1,,,,
3081,,,,,,1,,,,,,1,,,
3910,,,1,,,1,,1,,,,,,,
3620,,,,,,1,,1,,,,1,,,
2430,,,1,,1,,,,,,1,,,1,
3026,,,1,,,,1,,,,,,,,
3975,,,1,,1,,,,,,1,,,1,
2443,,1,,,,1,1,,,,,,,,
3900,,,1,,,1,,1,,,,1,,,
2432,,,,,,1,1,,,,,1,,,
2161,,,,,,,,,,,,,,,
3948,1,,,,1,,,1,,,1,,,1,
3518,,,,,1,,,1,,1,,,1,,
3005,1,,,1,,,1,,,,1,,,1,
3924,,,,,,,,,,,,,,,
3213,,,1,,,1,,,1,,,1,,,
3188,1,,,1,,,,1,,,1,,,1,
3945,1,,,1,,,,1,,,,1,1,,
3938,1,,,,1,,,,,,,,,,
3903,1,,,1,,,1,,,1,,,1,,
3939,,1,,,,,,,,,1,,1,,
3977,1,,,,1,,1,,,,1,,,1,
3191,,,,,,,,,,,,,,,
3018,1,,,,1,,,,,,,,,,
3627,,,,,,,,,,,,,,,
3206,1,,,,,,,1,,,,,,,
3212,1,,,,,,,1,,,1,,,,
3932,1,,,1,,,,1,,1,,1,1,,
3962,,,,,,1,1,,,,,1,,,
2304,,,,,,1,1,,,,,1,,,
3916,,,,,,,,,,,,,,,
3623,,,1,,,,,,,,,,,,
3644,,,,,,,,,,,,,,,
3920,,,1,,,1,,1,,,,1,,,
3365,,1,,,1,,1,,,,1,,,,
3278,,,1,,,,,,,,,,,,
3430,,1,,,1,,1,,,,,,,1,
3155,,,1,1,,,,1,,,,1,1,,
3576,,,1,1,,,1,,,,,,,,
3629,,,1,,,1,,,,,,1,,,
2623,,,1,,,1,,1,,,,1,,,
3572,,,1,,,1,,,,,,,,,
3304,,,1,,1,,1,,,,,1,,,
3955,,,,,,1,1,,,,,1,,,
2160,,,,1,,,,1,,,1,,1,,
3361,,,,,,,,,,,,,,,
3921,,,,,,,,,,,,,,,
3135,,,,,,,,,,,,,,,
3918,1,,,1,,,,1,,1,,,,1,
3495,,,,,,1,,1,,1,,,1,,
3372,1,,,,,,,,,,1,,,1,
2223,,,,1,,,1,,,1,,,1,,
3550,,,,,,,,,,,,,,,
3607,,,,,,,,,,,,,,,
3961,,,1,1,,,,,1,1,,,,1,
3598,1,,,1,,,,1,,1,,,1,,
2457,1,,,,1,,,1,,1,,,1,,
3555,,,,,,,,,,,,,,,
2198,1,,,,1,,,,1,,1,,,1,
3925,,,1,1,,,,1,,,,1,1,,
3124,1,,,1,,,,1,,1,,,1,,
